Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C18, C19, C6",0402,6,1uF,
"C10, C12, C9",0402,3,4.7uF,
"C11, C16, C21, C22",0402,4,100nF,
C15,0402,1,47nF,
"C17, C2, C20, C4",0402,4,10uF,
C23,0402,1,820pF,
"C24, C28",0402,2,1pF,
"C25, C26, C7, C8",0402,4,12pF,
C27,0402,1,100pF,
C29,0402,1,1.5pF,
"C3, C5",0402,2,2.2uF,
C30,0402,1,0.1uF,
D1,0402,1,LED,
D2,0402,1,BLUE,
D3,D_SOD-523,1,1N4148WT,
J1,USB-C_C168688,1,USB-C USB 2.0 MC-372,
"JP3, JP4",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,SolderJumper_2_Open,
L1,0402,1,15nH,
L2,0402,1,10uH,
L3,0402,1,3.9nH,
Q1,SOT-23,1,AO3407,
"R1, R10, R2",0402,3,5.1K,
"R11, R12",0402,2,4.7K,
R13,0402,1,390K,
"R14, R8, TH1",0402,3,10K,
R15,0402,1,1K,
"R16, R17, R18, R21, R6, R7",0402,6,0R,
R19,0402,1,820k,
R20,0402,1,2M,
R3,0402,1,100K,
R4,0402,1,1.1k,
R5,0402,1,590,
R9,0402,1,1.5k,
SW1,5x5button,1,SW_Push_Dual,
U1,Texas_DSBGA-9_1.62mmx1.58mm_Layout3x3_P0.5mm,1,BQ27427,
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
U3,SOT-23-6,1,MAX16054,
U4,DRV 6PIN,1,TPS709,
U5,FPC,1,Conn_01x14_Socket,
U6,AQFN-73-1EP_7x7mm_P0.5mm_NRF52840-custom,1,nRF52840_aQFN73,
U7,SSD1306_OLED-0.91-128x32,1,SSD1306,
X1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768 kHz,C97607
X2,crystal 32mhz,1,32MHZ,
